Date,Temperature,NOx,Wind Direction,Wind Speed,PM2.5
1/1/19 0:00,17.2,16.2,18,2,17
1/1/19 1:00,17.2,17,357,2.2,20
1/1/19 2:00,17,14.6,16,2.3,14
1/1/19 3:00,16.8,12.8,6,2.7,15
1/1/19 4:00,16.7,16.3,14,2.2,10
1/1/19 5:00,16.6,17.2,20,2.2,15
1/1/19 6:00,16.7,16,14,2.1,15
1/1/19 7:00,16.9,15,10,2.2,14
1/1/19 8:00,17.5,15.2,13,2.7,13
1/1/19 9:00,18.3,17.3,21,2.5,9
1/1/19 10:00,19.5,19.4,12,2.6,13
1/1/19 11:00,21,14.4,0,3.4,12
1/1/19 12:00,22,10.9,18,3,15
1/1/19 13:00,22.9,13.1,51,2.1,14
1/1/19 14:00,23.3,12.4,0,2.2,23
1/1/19 15:00,22.4,12.9,351,2.8,26
1/1/19 16:00,21.1,12.4,13,3.3,25
1/1/19 17:00,20.4,13.7,4,2.7,18
1/1/19 18:00,19.9,14.7,10,2.2,15
1/1/19 19:00,19.3,14.3,2,2.8,20
1/1/19 20:00,18.8,14.7,16,2.5,22
1/1/19 21:00,18.6,14.4,8,3.2,16
1/1/19 22:00,18.4,14.1,12,2.7,13
1/1/19 23:00,18.2,14.9,16,2.2,8
1/2/19 0:00,18,14.6,16,2.3,9
1/2/19 1:00,17.8,12.7,18,2.6,5
1/2/19 2:00,17.7,12.7,29,2.4,8
1/2/19 3:00,17.5,14.8,16,2.9,8
1/2/19 4:00,17.3,15.8,8,2.8,9
1/2/19 5:00,17.2,14.6,28,2.3,5
1/2/19 6:00,17.3,16.9,15,2.3,2
1/2/19 7:00,17.6,22.2,15,2.6,8
1/2/19 8:00,18.3,31.5,12,2.7,6
1/2/19 9:00,18.9,27.4,7,2.4,6
1/2/19 10:00,20,26.8,25,2,6
1/2/19 11:00,20.9,27.6,354,1.8,11
1/2/19 12:00,21.8,23.5,14,1.8,16
1/2/19 13:00,22.4,20.7,15,1.8,16#                            
